step,flux_to_10,flux_to_14,dissipation,entropy,m2,mass_error
6.200000000000000000e+01,1.163087933660473168e-10,1.162831746560432473e-04,2.721110401549637103e+01,1.959078394756170294e+00,1.698620152983204290e-01,1.110223024625156540e-16
6.300000000000000000e+01,1.245962661255507572e-10,1.186832094017926064e-04,2.785329827926646473e+01,1.962510109244105072e+00,1.692809062690787403e-01,2.220446049250313081e-16
6.400000000000000000e+01,1.334820519196577915e-10,1.211105668863332694e-04,2.849707006891300409e+01,1.965948178203309471e+00,1.686920084704516265e-01,0.000000000000000000e+00
6.500000000000000000e+01,1.429986386130642384e-10,1.235655001421676307e-04,2.914226820018350850e+01,1.969389812858551636e+00,1.680955909081519040e-01,2.220446049250313081e-16
6.600000000000000000e+01,1.531793496129779151e-10,1.260482374080310834e-04,2.978874496731711474e+01,1.972832047784302434e+00,1.674919575576779285e-01,0.000000000000000000e+00
6.700000000000000000e+01,1.640583108139319906e-10,1.285589805135695053e-04,3.043635606302772700e+01,1.976271730514871816e+00,1.668814504637936014e-01,0.000000000000000000e+00
6.800000000000000000e+01,1.756704133840596209e-10,1.310979031818265239e-04,3.108496049986289478e+01,1.979705510733792639e+00,1.662644530437594470e-01,0.000000000000000000e+00
6.900000000000000000e+01,1.880512722251167096e-10,1.336651492478897513e-04,3.173442053291816478e+01,1.983129829032585167e+00,1.656413936034366596e-01,0.000000000000000000e+00
7.000000000000000000e+01,2.012371799363236577e-10,1.362608307922272494e-04,3.238460158388831189e+01,1.986540905229545517e+00,1.650127490752902881e-01,2.220446049250313081e-16
7.100000000000000000e+01,2.152650561104040412e-10,1.388850261874576616e-04,3.303537216643826468e+01,1.989934726239809715e+00,1.643790489871460592e-01,0.000000000000000000e+00
7.200000000000000000e+01,2.301723917891336994e-10,1.415377780575474643e-04,3.368660381287832450e+01,1.993307033488498803e+00,1.637408796702813085e-01,1.110223024625156540e-16
7.300000000000000000e+01,2.459971889053986391e-10,1.442190911487162698e-04,3.433817100212969109e+01,1.996653309859324654e+00,1.630988887150425226e-01,0.000000000000000000e+00
7.400000000000000000e+01,2.627778945393170890e-10,1.469289301116604341e-04,3.498995108896849615e+01,1.999968766171595247e+00,1.624537896816784510e-01,2.220446049250313081e-16
7.500000000000000000e+01,2.805533298175544330e-10,1.496672171950805806e-04,3.564182423453802073e+01,2.003248327178996036e+00,1.618063670734204984e-01,0.000000000000000000e+00
7.600000000000000000e+01,2.993626132876993270e-10,1.524338298509223498e-04,3.629367333812081142e+01,2.006486617083911739e+00,1.611574815780338066e-01,0.000000000000000000e+00
7.700000000000000000e+01,3.192450786036291308e-10,1.552285982522147337e-04,3.694538397016467712e+01,2.009677944561222063e+00,1.605080755830781691e-01,1.110223024625156540e-16
7.800000000000000000e+01,3.402401863633631209e-10,1.580513027249239944e-04,3.759684430655797627e+01,2.012816287285479788e+00,1.598591789689339238e-01,0.000000000000000000e+00
7.900000000000000000e+01,3.623874299481457063e-10,1.609016710958292948e-04,3.824794506415264550e+01,2.015895275954978416e+00,1.592119151822491974e-01,0.000000000000000000e+00
8.000000000000000000e+01,3.857262352206355392e-10,1.637793759590808348e-04,3.889857943753481351e+01,2.018908177805428750e+00,1.585675075908374310e-01,2.220446049250313081e-16
8.100000000000000000e+01,4.102958539512959855e-10,1.666840318648213338e-04,3.954864303704582795e+01,2.021847879604561360e+00,1.579272861191567123e-01,0.000000000000000000e+00
8.200000000000000000e+01,4.361352508556013400e-10,1.696151924340376664e-04,4.019803382805846326e+01,2.024706870116816049e+00,1.572926941613365104e-01,0.000000000000000000e+00
8.300000000000000000e+01,4.632829841407270927e-10,1.725723474046715589e-04,4.084665207151586230e+01,2.027477222024172576e+00,1.566652957662428847e-01,2.220446049250313081e-16
8.400000000000000000e+01,4.917770794792046579e-10,1.755549196149515379e-04,4.149440026574301754e+01,2.030150573284783988e+00,1.560467830862792282e-01,2.220446049250313081e-16
8.500000000000000000e+01,5.216548973488366749e-10,1.785622619309197730e-04,4.214118308954363101e+01,2.032718107905115534e+00,1.554389840784782817e-01,0.000000000000000000e+00
8.600000000000000000e+01,5.529529937032143143e-10,1.815936541262162134e-04,4.278690734659709705e+01,2.035170536093285243e+00,1.548438704429333512e-01,0.000000000000000000e+00
8.700000000000000000e+01,5.857069739657215940e-10,1.846482997233496123e-04,4.343148191117414569e+01,2.037498073750714678e+00,1.542635657797297721e-01,2.220446049250313081e-16
8.800000000000000000e+01,6.199513403721618831e-10,1.877253228069351225e-04,4.407481767519121973e+01,2.039690421245355711e+00,1.537003539412385156e-01,0.000000000000000000e+00
8.900000000000000000e+01,6.557193327233445146e-10,1.908237648206985394e-04,4.471682749662736711e+01,2.041736741391732224e+00,1.531566875519301263e-01,2.220446049250313081e-16
